opened_month,incident_count,sla_breaches,breach_rate,median_resolution_hours,p90_resolution_hours,reassignment_rate,mean_reassignment_count,comparison_eligible
2016-02,207,73,35.26570048309179,53.791666666666664,669.97,40.09661835748793,0.7439613526570048,True
2016-03,8995,5410,60.144524735964424,71.18333333333334,496.1166666666667,55.86436909394108,1.2385769872151196,True
2016-04,7934,1849,23.304764305520546,4.333333333333333,312.2533333333334,40.887320393244266,0.8003529115200403,True
2016-05,7508,1688,22.48268513585509,2.9,308.41666666666674,38.452317527970166,0.7376132125732552,True
2016-06,5,1,20.0,26.65,3224.9233333333336,40.0,1.0,False
2016-07,14,3,21.428571428571427,34.791666666666664,683.3466666666668,71.42857142857143,1.7857142857142858,False
2016-08,15,8,53.333333333333336,145.18333333333334,1568.2666666666669,46.666666666666664,0.9333333333333333,False
2016-09,12,5,41.66666666666667,64.45,702.4616666666668,41.66666666666667,0.6666666666666666,False
2016-10,16,9,56.25,110.975,2302.733333333333,56.25,1.5,False
2016-11,26,9,34.61538461538461,1.1416666666666666,1178.5416666666665,38.46153846153847,0.6153846153846154,False
2016-12,37,14,37.83783783783784,43.91666666666666,678.74,40.54054054054054,0.5405405405405406,False
2017-01,94,41,43.61702127659575,57.1,649.4416666666667,55.319148936170215,0.9787234042553191,False
2017-02,55,5,9.090909090909092,2.8666666666666667,44.81666666666667,36.36363636363637,0.4909090909090909,False
