dimension,dimension_value,incident_count,elevated_risk_incident_count,elevated_risk_share_pct,critical_risk_incident_count,critical_risk_share_pct,mean_sla_risk_score,median_sla_risk_score,mean_risk_factor_count,comparison_eligible
Category,Category 10,3,0,0.0,0,0.0,12.912252023650852,10.837970042095929,2.6666666666666665,False
Category,Category 12,1,0,0.0,0,0.0,0.0,0.0,2.0,False
Category,Category 13,126,0,0.0,0,0.0,12.773357207661642,11.548044048364066,3.8095238095238093,True
Category,Category 14,1,0,0.0,0,0.0,17.216967781855875,17.216967781855875,3.0,False
Category,Category 16,2,0,0.0,0,0.0,6.40738157889007,6.40738157889007,3.0,False
Category,Category 17,79,3,3.79746835443038,0,0.0,17.811677695404928,8.641886143166582,2.392405063291139,False
Category,Category 19,245,8,3.2653061224489797,0,0.0,19.42606684968174,16.618587917185952,3.7877551020408164,True
Category,Category 2,5,0,0.0,0,0.0,9.798439072256809,5.761257428777721,3.0,False
Category,Category 20,1047,2,0.19102196752626552,0,0.0,4.861646550416412,0.0,3.845272206303725,True
Category,Category 21,8,0,0.0,0,0.0,18.710281472175208,17.65249073738092,2.75,False
Category,Category 22,52,0,0.0,0,0.0,10.967570749321338,8.24576723643531,2.4615384615384617,False
Category,Category 23,1063,11,1.03480714957667,0,0.0,16.1588375494362,12.899199787550877,3.8532455315145815,True
Category,Category 24,640,0,0.0,0,0.0,11.313086713516824,10.427367842968236,3.9546875,True
Category,Category 25,4,0,0.0,0,0.0,5.744556302658399,5.761257428777721,3.0,False
Category,Category 26,3338,3,0.08987417615338526,0,0.0,4.864719949443039,0.0,3.786998202516477,True
Category,Category 28,551,0,0.0,0,0.0,5.379513212280247,0.0,3.9637023593466423,True
Category,Category 29,3,1,33.33333333333333,0,0.0,35.552141981614916,32.25756244228512,2.6666666666666665,False
Category,Category 30,1,0,0.0,0,0.0,16.59922747087365,16.59922747087365,3.0,False
Category,Category 31,15,0,0.0,0,0.0,6.462325554424455,0.0,2.933333333333333,False
Category,Category 32,1522,0,0.0,0,0.0,3.4420064660740746,0.0,3.8771353482260182,True
Category,Category 33,16,0,0.0,0,0.0,4.933174331047798,0.0,2.125,False
Category,Category 34,501,1,0.19960079840319359,0,0.0,21.397291629352228,19.90988161083065,3.8263473053892216,True
Category,Category 35,517,0,0.0,0,0.0,1.8378023153819791,0.0,3.8994197292069632,True
Category,Category 37,1144,0,0.0,0,0.0,5.786899122981082,4.320943071583291,3.812062937062937,True
Category,Category 38,42,4,9.523809523809524,0,0.0,20.1539619640289,12.620556807020115,2.9047619047619047,False
Category,Category 4,5,0,0.0,0,0.0,3.9451055663474732,0.0,2.2,False
Category,Category 40,436,4,0.9174311926605505,0,0.0,19.855645777804913,18.601147217449334,3.782110091743119,True
Category,Category 42,3558,4,0.11242270938729623,0,0.0,3.6505259919870614,0.0,3.925238898257448,True
Category,Category 43,153,2,1.3071895424836601,0,0.0,7.504834815484153,5.102278416611666,3.849673202614379,True
Category,Category 44,302,1,0.33112582781456956,0,0.0,13.794101055276302,11.424967337928551,3.903973509933775,True
Category,Category 45,602,24,3.9867109634551494,1,0.16611295681063123,25.534461974748684,26.620060890822106,3.8870431893687707,True
Category,Category 46,2432,19,0.78125,0,0.0,17.375445636233383,17.741206137770423,3.8996710526315788,True
Category,Category 47,6,0,0.0,0,0.0,16.699134038909104,18.179770403043825,2.6666666666666665,False
Category,Category 48,1,0,0.0,0,0.0,14.391552814039995,14.391552814039995,3.0,False
Category,Category 5,10,0,0.0,0,0.0,0.0,0.0,3.0,False
Category,Category 50,24,0,0.0,0,0.0,1.7999136548963166,0.0,3.0,False
Category,Category 51,549,1,0.18214936247723132,0,0.0,3.1388480325902623,0.0,3.9581056466302367,True
Category,Category 52,5,0,0.0,0,0.0,1.1522514857555444,0.0,3.0,False
Category,Category 53,2678,3,0.11202389843166542,0,0.0,7.523409781524667,4.753523950058854,3.8431665421956684,True
Category,Category 54,30,0,0.0,0,0.0,10.729443845347616,9.739928092631256,2.9,False
Category,Category 55,106,2,1.8867924528301887,0,0.0,28.157609007173374,26.52133115326955,3.839622641509434,True
